Input,Output,Tag
I have some problems with accessing the databases of the University Library off-campus.,A possible workaround to access the databases off-campus is to install the eduVPN. You can find more information here: https://www.ru.nl/ict-uk/students/studying-off-campus-vpn-ru-connect/vpn/ ,Accessing the database off-campus
I cannot access the databases of the University Library.,A possible workaround to access the databases off-campus is to install the eduVPN. You can find more information here: https://www.ru.nl/ict-uk/students/studying-off-campus-vpn-ru-connect/vpn/ ,Accessing the database off-campus
I get the following message: File missing: docs / suspend.html. What can I do now?,A possible workaround to access the databases off-campus is to install the eduVPN. You can find more information here: https://www.ru.nl/ict-uk/students/studying-off-campus-vpn-ru-connect/vpn/ ,Accessing the database off-campus
"What do you do when you get the message ""File missing""?",A possible workaround to access the databases off-campus is to install the eduVPN. You can find more information here: https://www.ru.nl/ict-uk/students/studying-off-campus-vpn-ru-connect/vpn/ ,Accessing the database off-campus
Can you access the library's databases off-campus?,A possible workaround to access the databases off-campus is to install the eduVPN. You can find more information here: https://www.ru.nl/ict-uk/students/studying-off-campus-vpn-ru-connect/vpn/ ,Accessing the database off-campus
Is it possible to access the library's databases off-campus?,A possible workaround to access the databases off-campus is to install the eduVPN. You can find more information here: https://www.ru.nl/ict-uk/students/studying-off-campus-vpn-ru-connect/vpn/ ,Accessing the database off-campus
I want to access the database from home.,A possible workaround to access the databases off-campus is to install the eduVPN. You can find more information here: https://www.ru.nl/ict-uk/students/studying-off-campus-vpn-ru-connect/vpn/ ,Accessing the database off-campus
Can I view documents that I can normally only see on-campus from home?,A possible workaround to access the databases off-campus is to install the eduVPN. You can find more information here: https://www.ru.nl/ict-uk/students/studying-off-campus-vpn-ru-connect/vpn/ ,Accessing the database off-campus
Is there any way for me to connect to Radboud from home?,A possible workaround to access the databases off-campus is to install the eduVPN. You can find more information here: https://www.ru.nl/ict-uk/students/studying-off-campus-vpn-ru-connect/vpn/ ,Accessing the database off-campus
Can I connect to the Radboud database when I'm not there?,A possible workaround to access the databases off-campus is to install the eduVPN. You can find more information here: https://www.ru.nl/ict-uk/students/studying-off-campus-vpn-ru-connect/vpn/ ,Accessing the database off-campus
Can I access the workmaps from home?,A possible workaround to access the databases off-campus is to install the eduVPN. You can find more information here: https://www.ru.nl/ict-uk/students/studying-off-campus-vpn-ru-connect/vpn/ ,Accessing the database off-campus
Can I use the library catalogue from home?,A possible workaround to access the databases off-campus is to install the eduVPN. You can find more information here: https://www.ru.nl/ict-uk/students/studying-off-campus-vpn-ru-connect/vpn/ ,Accessing the database off-campus
Can I print something at the library without a reservation?,"You can print something at the library or anywhere else on campus without a reservation, but you cannot use one of the study workspaces. Don't forget to bring your student card.",Printing during the corona pandemic
Where can I print a document?,"You can print something at the library or anywhere else on campus without a reservation, but you cannot use one of the study workspaces. Don't forget to bring your student card.",Printing during the corona pandemic
Can you use the printers at the library to print something?,"You can print something at the library or anywhere else on campus without a reservation, but you cannot use one of the study workspaces. Don't forget to bring your student card.",Printing during the corona pandemic
Can you make use of the printers on campus in the Corona situation?,"You can print something at the library or anywhere else on campus without a reservation, but you cannot use one of the study workspaces. Don't forget to bring your student card.",Printing during the corona pandemic
Can I still print something on campus during the pandemic?,"You can print something at the library or anywhere else on campus without a reservation, but you cannot use one of the study workspaces. Don't forget to bring your student card.",Printing during the corona pandemic
Do I need to make a reservation to print something in the library?,"You can print something at the library or anywhere else on campus without a reservation, but you cannot use one of the study workspaces. Don't forget to bring your student card.",Printing during the corona pandemic
How does printing work during corona?,"You can print something at the library or anywhere else on campus without a reservation, but you cannot use one of the study workspaces. Don't forget to bring your student card.",Printing during the corona pandemic
Can I print something with the COVID-19 regulations?,"You can print something at the library or anywhere else on campus without a reservation, but you cannot use one of the study workspaces. Don't forget to bring your student card.",Printing during the corona pandemic
Is printing still possible?,"You can print something at the library or anywhere else on campus without a reservation, but you cannot use one of the study workspaces. Don't forget to bring your student card.",Printing during the corona pandemic
Can I print something on-campus?,"You can print something at the library or anywhere else on campus without a reservation, but you cannot use one of the study workspaces. Don't forget to bring your student card.",Printing during the corona pandemic
Can I print at the library?,"You can print something at the library or anywhere else on campus without a reservation, but you cannot use one of the study workspaces. Don't forget to bring your student card.",Printing during the corona pandemic
"Okay, thanks!","Happy to help, talk to you later!",Ending
There isn't anything that you can help me with anymore.,"Happy to help, talk to you later!",Ending
You have answered all my questions.,"Happy to help, talk to you later!",Ending
You have solved my problems.,"Happy to help, talk to you later!",Ending
"It is done now, thanks!","Happy to help, talk to you later!",Ending
"I don't have any questions left, thanks for the help.","Happy to help, talk to you later!",Ending
